序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
369,标准《高产、优质、抗病水稻品种龙粳3005生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T 132-2022。,高产、优质、抗病水稻品种龙粳3005生产技术操作规程,DB2308/T 132-2022,事实型问答,GraphRAG-MCP快路径,standard_85734f754ce33e14,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2D75F16E05397BE0A0A37EA,机器构建后待人工复核
370,标准《早熟、优质、高产水稻品种富合31生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T 136-2022。,早熟、优质、高产水稻品种富合31生产技术操作规程,DB2308/T 136-2022,事实型问答,GraphRAG-MCP快路径,standard_229aff225f99b83e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2DB5F16E05397BE0A0A37EA,机器构建后待人工复核
371,标准《早熟、优质、抗稻瘟病水稻品种富合3号生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T 137-2022。,早熟、优质、抗稻瘟病水稻品种富合3号生产技术操作规程,DB2308/T 137-2022,事实型问答,GraphRAG-MCP快路径,standard_aa50d1cc71057fa1,https://std.samr.gov.cn/db/search/stdDBDetailed?id=EF381DFDB2DC5F16E05397BE0A0A37EA,机器构建后待人工复核
372,标准《寒地水稻分段收获技术规程》的编号是什么？,该标准的编号为DB2308/T 158-2023。,寒地水稻分段收获技术规程,DB2308/T 158-2023,事实型问答,GraphRAG-MCP快路径,standard_21879f0198150229,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A424ACE5E06397BE0A0AC3FC,机器构建后待人工复核
373,标准《水稻机械插秧前本田寄秧技术规程》的编号是什么？,该标准的编号为DB2308/T 159-2023。,水稻机械插秧前本田寄秧技术规程,DB2308/T 159-2023,事实型问答,GraphRAG-MCP快路径,standard_5b53100472da1f4b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A425ACE5E06397BE0A0AC3FC,机器构建后待人工复核
374,标准《水稻纹枯病防治技术规程》的编号是什么？,该标准的编号为DB2308/T 160-2023。,水稻纹枯病防治技术规程,DB2308/T 160-2023,事实型问答,GraphRAG-MCP快路径,standard_121f31f91922c61c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A426ACE5E06397BE0A0AC3FC,机器构建后待人工复核
375,标准《水稻无人机水直播技术规程》的编号是什么？,该标准的编号为DB2308/T 169-2023。,水稻无人机水直播技术规程,DB2308/T 169-2023,事实型问答,GraphRAG-MCP快路径,standard_cde17a7857547f76,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A42FACE5E06397BE0A0AC3FC,机器构建后待人工复核
376,标准《水稻种子消毒与催芽操作技术规程》的编号是什么？,该标准的编号为DB2308/T 170-2023。,水稻种子消毒与催芽操作技术规程,DB2308/T 170-2023,事实型问答,GraphRAG-MCP快路径,standard_8862b80b4de85157,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A430ACE5E06397BE0A0AC3FC,机器构建后待人工复核
377,标准《水稻秧田管理操作技术规程》的编号是什么？,该标准的编号为DB2308/T 171-2023。,水稻秧田管理操作技术规程,DB2308/T 171-2023,事实型问答,GraphRAG-MCP快路径,standard_4ac7ac2218d831e5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A431ACE5E06397BE0A0AC3FC,机器构建后待人工复核
378,标准《水稻高产栽培施肥技术规程》的编号是什么？,该标准的编号为DB2308/T 172-2023。,水稻高产栽培施肥技术规程,DB2308/T 172-2023,事实型问答,GraphRAG-MCP快路径,standard_3fbe64005a6a1d86,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A432ACE5E06397BE0A0AC3FC,机器构建后待人工复核
379,标准《水稻本田灌溉操作技术规程》的编号是什么？,该标准的编号为DB2308/T 173-2023。,水稻本田灌溉操作技术规程,DB2308/T 173-2023,事实型问答,GraphRAG-MCP快路径,standard_c4261fc67f9afe9c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A433ACE5E06397BE0A0AC3FC,机器构建后待人工复核
380,标准《水稻优质栽培施肥技术规程》的编号是什么？,该标准的编号为DB2308/T 174-2023。,水稻优质栽培施肥技术规程,DB2308/T 174-2023,事实型问答,GraphRAG-MCP快路径,standard_05dff5d50dd2e338,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A434ACE5E06397BE0A0AC3FC,机器构建后待人工复核
381,标准《佳木斯水稻主要病虫害综合防治技术规程》的编号是什么？,该标准的编号为DB2308/T 183-2023。,佳木斯水稻主要病虫害综合防治技术规程,DB2308/T 183-2023,事实型问答,GraphRAG-MCP快路径,standard_26081cfdd991e649,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A43DACE5E06397BE0A0AC3FC,机器构建后待人工复核
382,标准《佳木斯水稻品种（系）稻瘟病抗性离体叶片鉴定技术规范》的编号是什么？,该标准的编号为DB2308/T 185-2023。,佳木斯水稻品种（系）稻瘟病抗性离体叶片鉴定技术规范,DB2308/T 185-2023,事实型问答,GraphRAG-MCP快路径,standard_06e91576df7d3f5b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A43FACE5E06397BE0A0AC3FC,机器构建后待人工复核
383,标准《早熟优质高产抗倒广适水稻新品种龙粳1718生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T 187-2023。,早熟优质高产抗倒广适水稻新品种龙粳1718生产技术操作规程,DB2308/T 187-2023,事实型问答,GraphRAG-MCP快路径,standard_ce9e66b13130b2b1,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C383EF3A441ACE5E06397BE0A0AC3FC,机器构建后待人工复核
384,标准《水稻旱条播水管理栽培技术规程》的编号是什么？,该标准的编号为DB2308/T 196-2024。,水稻旱条播水管理栽培技术规程,DB2308/T 196-2024,事实型问答,GraphRAG-MCP快路径,standard_bf5be8de1db557e8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=20B9CADD72011BA2E06397BE0A0AC1E1,机器构建后待人工复核
385,标准《水稻稻瘟病菌孢子保存技术规范》的编号是什么？,该标准的编号为DB2308/T 211-2024。,水稻稻瘟病菌孢子保存技术规范,DB2308/T 211-2024,事实型问答,GraphRAG-MCP快路径,standard_2442762b73a787ed,https://std.samr.gov.cn/db/search/stdDBDetailed?id=27F4C67417BF1701E06397BE0A0A73F3,机器构建后待人工复核
386,标准《寒地水稻机插秧高产抗冷高效栽培技术规程》的编号是什么？,该标准的编号为DB2308/T 212-2024。,寒地水稻机插秧高产抗冷高效栽培技术规程,DB2308/T 212-2024,事实型问答,GraphRAG-MCP快路径,standard_79c57a96104f7ace,https://std.samr.gov.cn/db/search/stdDBDetailed?id=27F4C67417C01701E06397BE0A0A73F3,机器构建后待人工复核
387,标准《水稻集束型丸粒化种子机械加工技术规程》的编号是什么？,该标准的编号为DB2308/T 213-2024。,水稻集束型丸粒化种子机械加工技术规程,DB2308/T 213-2024,事实型问答,GraphRAG-MCP快路径,standard_727ad5e0518305a0,https://std.samr.gov.cn/db/search/stdDBDetailed?id=27F4C67417C11701E06397BE0A0A73F3,机器构建后待人工复核
388,标准《水稻食味品质提升调控栽培技术规程》的编号是什么？,该标准的编号为DB2308/T 214-2024。,水稻食味品质提升调控栽培技术规程,DB2308/T 214-2024,事实型问答,GraphRAG-MCP快路径,standard_605318f82163ad47,https://std.samr.gov.cn/db/search/stdDBDetailed?id=27F4C67417C21701E06397BE0A0A73F3,机器构建后待人工复核
389,标准《佳木斯市水稻开花期耐冷性鉴定技术规程》的编号是什么？,该标准的编号为DB2308/T 215-2024。,佳木斯市水稻开花期耐冷性鉴定技术规程,DB2308/T 215-2024,事实型问答,GraphRAG-MCP快路径,standard_47f4430a1b975dc9,https://std.samr.gov.cn/db/search/stdDBDetailed?id=27F4C67417C31701E06397BE0A0A73F3,机器构建后待人工复核
390,标准《水稻旱平免搅浆整地技术规程》的编号是什么？,该标准的编号为DB2308/T 219-2024。,水稻旱平免搅浆整地技术规程,DB2308/T 219-2024,事实型问答,GraphRAG-MCP快路径,standard_a597f4cc2a92e507,https://std.samr.gov.cn/db/search/stdDBDetailed?id=27F4C67417C71701E06397BE0A0A73F3,机器构建后待人工复核
391,标准《优质高产水稻品种“垦稻41”生产技术操作规程》的编号是什么？,该标准的编号为DB2308/T075-2021。,优质高产水稻品种“垦稻41”生产技术操作规程,DB2308/T075-2021,事实型问答,GraphRAG-MCP快路径,standard_bc6c6588f07e7f3b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C9BB948E5992B2D3E05397BE0A0A2C3A,机器构建后待人工复核
392,标准《三江平原水稻水直播栽培化肥减施技术规程》的编号是什么？,该标准的编号为DB2308/T097-2021。,三江平原水稻水直播栽培化肥减施技术规程,DB2308/T097-2021,事实型问答,GraphRAG-MCP快路径,standard_4ccd3b70f011af19,https://std.samr.gov.cn/db/search/stdDBDetailed?id=CB120E20A62762A2E05397BE0A0AC0F1,机器构建后待人工复核
393,标准《高产抗病水稻新品种牡育稻42生产技术规程》的编号是什么？,该标准的编号为DB2310/T 052-2020。,高产抗病水稻新品种牡育稻42生产技术规程,DB2310/T 052-2020,事实型问答,GraphRAG-MCP快路径,standard_e69569c92a142dc3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=AE3CAC64D0146A2AE05397BE0A0A6464,机器构建后待人工复核
394,标准《牡丹江优质水稻生产技术规程》的编号是什么？,该标准的编号为DB2310/T 074-2022。,牡丹江优质水稻生产技术规程,DB2310/T 074-2022,事实型问答,GraphRAG-MCP快路径,standard_389a4528ce95d21b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F1940F10060198CAE05397BE0A0AC50B,机器构建后待人工复核
395,标准《优质水稻新品种牡育稻49生产技术规程》的编号是什么？,该标准的编号为DB2310/T 091-2023。,优质水稻新品种牡育稻49生产技术规程,DB2310/T 091-2023,事实型问答,GraphRAG-MCP快路径,standard_f5f83d34fdc72d21,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F91F23EB604081B1E05397BE0A0ACD80,机器构建后待人工复核
396,标准《高产水稻新品种牡育稻66生产技术规程》的编号是什么？,该标准的编号为DB2310/T 092-2023。,高产水稻新品种牡育稻66生产技术规程,DB2310/T 092-2023,事实型问答,GraphRAG-MCP快路径,standard_efd21da6b8b75974,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F91F23EB604181B1E05397BE0A0ACD80,机器构建后待人工复核
397,标准《逊克县水稻生产技术规程》的编号是什么？,该标准的编号为DB2311/T 049—2021。,逊克县水稻生产技术规程,DB2311/T 049—2021,事实型问答,GraphRAG-MCP快路径,standard_632459e52b7b5b24,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B66DA550279E80E05397BE0A0AD167,机器构建后待人工复核
398,标准《逊克县水稻生产技术规程》的编号是什么？,该标准的编号为DB2311/T 052—2021。,逊克县水稻生产技术规程,DB2311/T 052—2021,事实型问答,GraphRAG-MCP快路径,standard_261e653ef8407684,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B67EF31DDFA26AE05397BE0A0AAD1A,机器构建后待人工复核
399,标准《黑河市水稻秸秆还田技术操作规程》的编号是什么？,该标准的编号为DB2311/T 089—2024。,黑河市水稻秸秆还田技术操作规程,DB2311/T 089—2024,事实型问答,GraphRAG-MCP快路径,standard_9cc0731d0604a97e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=299B588E669C2902E06397BE0A0A8C47,机器构建后待人工复核
400,标准《黑河市水稻生产技术操作规程》的编号是什么？,该标准的编号为DB2311/T64—2023。,黑河市水稻生产技术操作规程,DB2311/T64—2023,事实型问答,GraphRAG-MCP快路径,standard_c5330a66874677a6,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0C61555689A685CEE06397BE0A0AF2AB,机器构建后待人工复核
401,标准《耐盐碱水稻种质资源评价与保存技术规程》的编号是什么？,该标准的编号为DB2312/T 063-2022。,耐盐碱水稻种质资源评价与保存技术规程,DB2312/T 063-2022,事实型问答,GraphRAG-MCP快路径,standard_65d7741fe3f3a72a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B85839F69447E9E05397BE0A0A79D8,机器构建后待人工复核
402,标准《水稻抗稻瘟病田间鉴定技术规程》的编号是什么？,该标准的编号为DB2312/T 065-2022。,水稻抗稻瘟病田间鉴定技术规程,DB2312/T 065-2022,事实型问答,GraphRAG-MCP快路径,standard_077d97505522422e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B85839F69647E9E05397BE0A0A79D8,机器构建后待人工复核
403,标准《水稻联合育种技术规程》的编号是什么？,该标准的编号为DB2312/T 066-2022。,水稻联合育种技术规程,DB2312/T 066-2022,事实型问答,GraphRAG-MCP快路径,standard_5f2d46b0da352b15,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B85839F69747E9E05397BE0A0A79D8,机器构建后待人工复核
404,标准《优质水稻绿色栽培技术规程》的编号是什么？,该标准的编号为DB2312/T 067-2022。,优质水稻绿色栽培技术规程,DB2312/T 067-2022,事实型问答,GraphRAG-MCP快路径,standard_25bd0dc1c6656a31,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B85839F69847E9E05397BE0A0A79D8,机器构建后待人工复核
405,标准《水稻富硒栽培技术规程》的编号是什么？,该标准的编号为DB2312/T 073-2023。,水稻富硒栽培技术规程,DB2312/T 073-2023,事实型问答,GraphRAG-MCP快路径,standard_3f25c79f7c2f9216,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F9A6DF43873CD7D9E05397BE0A0A40E3,机器构建后待人工复核
406,标准《水稻干尖线虫病防治技术》的编号是什么？,该标准的编号为DB2312/T 074-2023。,水稻干尖线虫病防治技术,DB2312/T 074-2023,事实型问答,GraphRAG-MCP快路径,standard_401030337ff8bd8e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F9A6DF43873DD7D9E05397BE0A0A40E3,机器构建后待人工复核
407,标准《盐碱地水稻栽培技术规程》的编号是什么？,该标准的编号为DB2312/T 077-2023。,盐碱地水稻栽培技术规程,DB2312/T 077-2023,事实型问答,GraphRAG-MCP快路径,standard_ead7d13e93c25e0d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F9A6DF438740D7D9E05397BE0A0A40E3,机器构建后待人工复核
408,标准《水稻（大豆）多功能脱粒机 作业质量》的编号是什么？,该标准的编号为DB2312/T 078-2023。,水稻（大豆）多功能脱粒机 作业质量,DB2312/T 078-2023,事实型问答,GraphRAG-MCP快路径,standard_68649c6fd0ecc6db,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F9A6DF438741D7D9E05397BE0A0A40E3,机器构建后待人工复核
409,标准《特色农业气象服务 水稻》的编号是什么？,该标准的编号为DB2312/T 118-2024。,特色农业气象服务 水稻,DB2312/T 118-2024,事实型问答,GraphRAG-MCP快路径,standard_af71f040fc74efa8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=28048F992D77A015E06397BE0A0A8126,机器构建后待人工复核
410,标准《寒地水稻田间病害等级智能识别指南》的编号是什么？,该标准的编号为DB2312/T 128-2025。,寒地水稻田间病害等级智能识别指南,DB2312/T 128-2025,事实型问答,GraphRAG-MCP快路径,standard_f72833343a7a42a0,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2E14E855FCE9A119E06397BE0A0AAB26,机器构建后待人工复核
411,标准《水稻育秧铺盘播种机 作业质量》的编号是什么？,该标准的编号为DB2312/T 130-2025。,水稻育秧铺盘播种机 作业质量,DB2312/T 130-2025,事实型问答,GraphRAG-MCP快路径,standard_d49d8c0f4096cf93,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2E14E855FCEBA119E06397BE0A0AAB26,机器构建后待人工复核
412,标准《有机水稻生产技术规程》的编号是什么？,该标准的编号为DB2312/T 135-2025。,有机水稻生产技术规程,DB2312/T 135-2025,事实型问答,GraphRAG-MCP快路径,standard_0808cf5fad704c1a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2E14E855FCF0A119E06397BE0A0AAB26,机器构建后待人工复核
413,标准《水稻种子包衣技术规程》的编号是什么？,该标准的编号为DB2312/T 136-2025。,水稻种子包衣技术规程,DB2312/T 136-2025,事实型问答,GraphRAG-MCP快路径,standard_ffb57b75eb3b6e5e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2E14E855FCF1A119E06397BE0A0AAB26,机器构建后待人工复核
414,标准《稻鸭共作模式下水稻病虫草害综合防治技术规程》的编号是什么？,该标准的编号为DB2312/T 137-2025。,稻鸭共作模式下水稻病虫草害综合防治技术规程,DB2312/T 137-2025,事实型问答,GraphRAG-MCP快路径,standard_4b4818b9f6b9ec5c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2E14E855FCF2A119E06397BE0A0AAB26,机器构建后待人工复核
